INSTNM,CITY,STABBR,ZIP,CARNEGIESIZE,INSTSIZE,LONGITUD,LATITUDE
Alvernia University,Reading,PA,19607-1799,2,2,-75.936754,40.310028
The Beauty Institute-Ambler,Ambler,PA,19002,-2,1,-75.222204,40.154233
American College of Financial Services,King of Prussia,PA,19406,3,3,-75.394652,40.101644
Automotive Training Center-Exton,Exton,PA,19341-1310,-2,1,-75.643079,40.058206
Clarks Summit University,Clarks Summit,PA,18411-1250,2,-2,-75.685472,41.495062
Community College of Beaver County,Monaca,PA,15061-2588,2,2,-80.305876,40.655601
Arcadia University,Glenside,PA,19038-3295,2,2,-75.163876,40.092606
Missio Theological Seminary,Philadelphia,PA,19123,1,1,-75.150056,39.959026
Bryn Mawr College,Bryn Mawr,PA,19010,2,2,-75.313223,40.02736
Bucknell University,Lewisburg,PA,17837,2,2,-76.882616,40.954317
Bucks County Community College,Newtown,PA,18940-4106,3,3,-74.965841,40.239102
Bucks County School of Beauty Culture Inc,Feasterville,PA,19053-7368,-2,1,-75.007054,40.166449
Butler Beauty Academy,Butler,PA,16001,-2,1,-79.895107,40.859152
Butler County Community College,Butler,PA,16002,2,2,-79.911433,40.829364
Cabrini University,Radnor,PA,19087-3698,2,-2,-75.375263,40.056355
Carlow University,Pittsburgh,PA,15213-3165,2,2,-79.963448,40.439293
Carnegie Mellon University,Pittsburgh,PA,15213-3890,3,4,-79.941993,40.44357
Cedar Crest College,Allentown,PA,18104-6196,2,2,-75.519221,40.586318
Central Penn College,Summerdale,PA,17093-0309,2,1,-76.934461,40.3049
Chatham University,Pittsburgh,PA,15232,2,2,-79.926083,40.448432
Chestnut Hill College,Philadelphia,PA,19118-2693,2,2,-75.228742,40.08678
Cheyney University of Pennsylvania,Cheyney,PA,19319-0200,2,1,-75.529262,39.932274
Citizens School of Nursing,Tarentum,PA,15084,-2,1,-79.798934,40.573248
DLP Conemaugh Memorial Medical Center,Johnstown,PA,15905-4398,-2,1,-78.918445,40.305445
Curtis Institute of Music,Philadelphia,PA,19103,1,1,-75.170727,39.948857
Delaware County Community College,Media,PA,19063-1094,3,3,-75.39308,39.966724
Delaware Valley University,Doylestown,PA,18901-2697,2,2,-75.158452,40.298659
Dickinson College,Carlisle,PA,17013-2896,2,2,-77.197854,40.202796
Douglas Education Center,Monessen,PA,15062,1,1,-79.888461,40.161519
Drexel University,Philadelphia,PA,19104,4,5,-75.190051,39.955217
Duquesne University,Pittsburgh,PA,15282,3,3,-79.993123,40.43589
East Stroudsburg University of Pennsylvania,East Stroudsburg,PA,18301-2999,3,3,-75.173905,40.99599
Eastern University,Saint Davids,PA,19087-3696,3,3,-75.370316,40.050448
Elizabethtown College,Elizabethtown,PA,17022-2298,2,2,-76.593224,40.149236
Empire Beauty School-Lebanon,Lebanon,PA,17042,-2,1,-76.423302,40.311029
Empire Beauty School-York,York,PA,17402,-2,1,-76.674663,39.972543
Empire Beauty School-Lancaster,Lancaster,PA,17603,-2,1,-76.354033,40.038813
Empire Beauty School-Shamokin Dam,Shamokin Dam,PA,17876,-2,1,-76.815891,40.854559
Empire Beauty School-Pottsville,Pottsville,PA,17901,-2,1,-76.186417,40.706451
Empire Beauty  School-Lehigh Valley,Whitehall,PA,18052,-2,1,-75.485471,40.63006
Empire Beauty School-Gwinnett,Lawrenceville,GA,30044-3045,-2,1,-84.121878,33.939252
Empire Beauty School-Wyoming Valley,Moosic,PA,18507,-2,1,-75.701735,41.375743
Empire Beauty School-Harrisburg,Harrisburg,PA,17109,-2,1,-76.828798,40.293647
Empire Beauty School-Reading,Reading,PA,19605,-2,1,-75.927465,40.370166
Erie Institute of Technology Inc,Erie,PA,16565,1,1,-80.100853,42.071725
Franklin and Marshall College,Lancaster,PA,17604-3003,2,2,-76.319037,40.048045
Gannon University,Erie,PA,16541-0001,3,2,-80.087166,42.128403
Geneva College,Beaver Falls,PA,15010-3599,2,2,-80.321826,40.772518
Gettysburg College,Gettysburg,PA,17325,2,2,-77.236792,39.836597
Empire Beauty School-NE Philadelphia,Philadelphia,PA,19154,-2,1,-74.971093,40.084983
Gratz College,Melrose Park,PA,19027,2,1,-75.133915,40.067206
Grove City College,Grove City,PA,16127-2104,2,2,-80.081481,41.1558
Gwynedd Mercy University,Gwynedd Valley,PA,19437-0901,2,2,-75.237224,40.19774
Harcum College,Bryn Mawr,PA,19010-3476,2,1,-75.314801,40.022582
Harrisburg Area Community College,Harrisburg,PA,17110-2999,4,4,-76.886408,40.296777
Haverford College,Haverford,PA,19041-1392,2,2,-75.305207,40.007452
Commonwealth Technical Institute,Johnstown,PA,15905,1,1,-78.947004,40.301691
Holy Family University,Philadelphia,PA,19114-2009,2,2,-74.986451,40.060581
Immaculata University,Immaculata,PA,19345,2,2,-75.570711,40.027981
Indiana University of Pennsylvania-Main Campus,Indiana,PA,15705-1098,3,3,-79.159332,40.617531
UPMC Jameson School of Nursing,New Castle,PA,16105,-2,1,-80.353,41.026499
Great Lakes Institute of Technology,Erie,PA,16509-2482,2,1,-80.091816,42.079508
Johnson College,Scranton,PA,18508-1495,2,1,-75.642476,41.450409
Juniata College,Huntingdon,PA,16652-2196,2,2,-78.017292,40.500523
Keystone College,La Plume,PA,18440-0200,2,1,-75.777456,41.558969
King's College,Wilkes-Barre,PA,18711-0801,2,2,-75.879822,41.250097
Butler Beauty Academy-Kittanning Beauty Academy,Kittanning,PA,16201,-2,1,-79.52003,40.813778
Kutztown University of Pennsylvania,Kutztown,PA,19530-0730,3,3,-75.783933,40.513561
La Roche University,Pittsburgh,PA,15237-5898,2,2,-80.014851,40.568615
La Salle University,Philadelphia,PA,19141-1199,3,2,-75.153061,40.037979
Lackawanna College,Scranton,PA,18509-3206,3,2,-75.658963,41.411556
Lafayette College,Easton,PA,18042-1768,2,2,-75.209786,40.69956
Lancaster Bible College,Lancaster,PA,17601-5036,2,2,-76.287761,40.075347
Lancaster Theological Seminary,Lancaster,PA,17603-2897,1,1,-76.317631,40.045235
Lancaster School of Cosmetology & Therapeutic Bodywork,Lancaster,PA,17602,-2,1,-76.283649,40.040746
Lansdale School of Business,North Wales,PA,19454-4114,1,1,-75.284662,40.22379
Lansdale School of Cosmetology Inc,Lansdale,PA,19446-2003,-2,1,-75.286281,40.243302
Lebanon Valley College,Annville,PA,17003-1400,2,2,-76.514431,40.330604
Lehigh Carbon Community College,Schnecksville,PA,18078-2598,3,3,-75.610715,40.66474
Miller-Motte College-Berks Technical Institute,Wyomissing,PA,19610-1168,2,1,-75.978873,40.344627
Lehigh University,Bethlehem,PA,18015,3,3,-75.380236,40.606822
Lincoln Technical Institute-Allentown,Allentown,PA,18104-9889,2,1,-75.568979,40.591908
Lincoln Technical Institute-Philadelphia,Philadelphia,PA,19136,1,1,-74.999686,40.049548
Lincoln University,Lincoln University,PA,19352-0999,2,2,-75.926458,39.807723
UPMC St. Margaret School of Nursing,Pittsburgh,PA,15238-3250,-2,1,-79.863106,40.491687
United Lutheran Seminary,Gettysburg,PA,17325-1795,1,1,-77.244111,39.831701
Luzerne County Community College,Nanticoke,PA,18634,3,2,-75.991095,41.194728
Lycoming College,Williamsport,PA,17701-5192,2,2,-77,41.24666
Manor College,Jenkintown,PA,19046-3399,2,1,-75.104786,40.08714
Marywood University,Scranton,PA,18509-1598,2,2,-75.634142,41.434587
Vet Tech Institute,Pittsburgh,PA,15222-3400,1,1,-80.000229,40.443884
Roxborough Memorial Hospital School of Nursing,Philadelphia,PA,19128,-2,1,-75.209985,40.028912
Mercyhurst University,Erie,PA,16546,2,2,-80.053412,42.10578
Messiah University,Mechanicsburg,PA,17055,2,2,-76.988269,40.156579
ASPIRA City College,Philadelphia,PA,19140-2302,1,1,-75.135042,40.017493
Millersville University of Pennsylvania,Millersville,PA,17551-0302,3,3,-76.357381,40.000337
Misericordia University,Dallas,PA,18612-1098,2,2,-75.971541,41.345277
